stage,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,n_measurements,k
fastText only,0.021332,0.01964,0.03158,0.03705,0.05032,0.00658,0.11379,10000,3
normalize + fastText,0.016092,0.01504,0.02279,0.026,0.03437,0.00711,0.26202,10000,3
