mode,latency_benchmark_rows,benchmark_latency_mean_ms,benchmark_latency_p50_ms,benchmark_latency_p95_ms,benchmark_latency_p99_ms
full,120,362.68919136670473,384.4445579998137,397.90169095094825,497.8319408997595
shortlist_5,120,257.835892674954,280.1525649992982,313.75717415003237,383.5516988098425
shortlist_10,120,295.1480115833571,296.6462349995709,382.27872845054657,398.6284161907133
