mode,shortlist_size,best_threshold,mean_candidate_attributes,shortlist_attribute_recall,shortlist_full_coverage,shortlist_evaluated_examples,rows,execution_errors,category_accuracy_at_1,category_recall_at_3,span_precision,span_recall,span_f1,span_exact_match,surface_f1,surface_exact_match,attribute_f1,hallucination_rate,missed_all_facts_rate,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_benchmark_rows,benchmark_latency_mean_ms,benchmark_latency_p50_ms,benchmark_latency_p95_ms,benchmark_latency_p99_ms
full,,0.6,24.935,0.8136300417246175,0.36363636363636365,759,800,0,0.92125,0.96875,0.6652639632746749,0.6046592489568846,0.6335154826958107,0.049429657794676805,0.6338797814207651,0.049429657794676805,0.6653121536756557,0.1,0.005270092226613966,359.9240166600021,381.6647935000219,417.3517214499952,497.2022113102503,120,362.68919136670473,384.4445579998137,397.90169095094825,497.8319408997595
shortlist_5,5.0,0.2,5.0,0.7677329624478443,0.2938076416337286,759,800,0,0.92125,0.96875,0.7000688705234159,0.7068845618915159,0.7034602076124566,0.15462610899873258,0.7034602076124566,0.15462610899873258,0.7673835125448029,0.16666666666666666,0.0,251.32470316872514,222.59448649947444,308.74681700142895,382.86479949983914,120,257.835892674954,280.1525649992982,313.75717415003237,383.5516988098425
shortlist_10,10.0,0.6,10.0,0.8063282336578581,0.36363636363636365,759,800,0,0.92125,0.96875,0.6599326599326599,0.6133518776077886,0.6357902324743198,0.053231939163498096,0.636150657776176,0.053231939163498096,0.6731689363268311,0.03333333333333333,0.006587615283267457,279.44304463002027,291.19931049899606,316.4780990494364,396.4726491001966,120,295.1480115833571,296.6462349995709,382.27872845054657,398.6284161907133
