variant,shortlist_size,best_threshold,span_precision,span_recall,span_f1,surface_f1,attribute_f1,hallucination_rate,latency_p50_ms_t4,latency_p95_ms_t4
base,5,0.2,0.700069,0.706885,0.70346,0.70346,0.767384,0.166667,27.00411,40.406514
marketplace_lora,5,0.7,0.648522,0.671071,0.659604,0.659945,0.697427,1.0,44.439961,66.15036
